metric,beta_age_FD0.3,beta_age_FD0.5,beta_age_FD0.9,FDR_q_FD0.3,FDR_q_FD0.5,FDR_q_FD0.9,n_FD0.3,n_FD0.5,n_FD0.9,sign_consistent_across_fd
char_path_length,0.0046313887850217,-0.0004281569879226,-0.0007146243576176,0.3513918935886202,0.9253453166967456,0.8754008262039282,81.0,108.0,119.0,False
clustering_w,0.0015106288895924,0.0016013626567609,0.0014491904858409,0.0032552112682845,0.0002332709540495,0.0006566729999407,81.0,108.0,119.0,True
mean_betweenness,4.725906923493193e-05,-4.36894885635429e-06,-7.292085281812702e-06,0.3513918935886202,0.9253453166967456,0.8754008262039282,81.0,108.0,119.0,False
modularity_q,0.0018815867480264,0.00105829304367,0.0011829961584464,0.2924922005023196,0.7946212564208174,0.5568861925746266,81.0,108.0,119.0,True
small_worldness,0.0094745103538708,0.0043108741132354,0.0059441662676753,0.3236407464675525,0.8342025759127077,0.5568861925746266,81.0,108.0,119.0,True
