metric,n,beta_age,se_age,t_age,p_age,r2,FDR_q
clustering_w,114,0.0014546973027898093,0.00040676505734716593,3.576259259526941,0.0005193773554371653,0.1133567425698645,0.002596886777185826
modularity_q,114,0.001219328684957802,0.0006066256547200013,2.0100183292126093,0.04687675750550564,0.041088604793169115,0.1171918937637641
char_path_length,114,0.0018854752711898151,0.002259235782880733,0.8345633003323191,0.40577244828553155,0.00905930655686149,0.42427905688158024
small_worldness,114,0.006497612812104802,0.005652211361297785,1.1495700349416704,0.25281429379757303,0.015454864995581019,0.4213571563292884
mean_betweenness,114,2.250432956156025e-05,2.8060072408508682e-05,0.8020053987721086,0.42427905688158024,0.011611507186090386,0.42427905688158024
