metric,n,beta_age,se_age,t_age,p_age,r2,FDR_q
clustering_w,119,0.0014491904858409312,0.00036615727785993914,3.957836081562932,0.00013133459998815417,0.12887900545209074,0.0006566729999407708
modularity_q,119,0.0011829961584464228,0.0010110570018821853,1.170058815916566,0.24439645199609542,0.028597177943358698,0.5568861925746266
char_path_length,119,-0.0007146243576176242,0.004547351920611356,-0.15715175998992145,0.8754008262039282,0.005214031215492465,0.8754008262039282
small_worldness,119,0.005944166267675304,0.006128636740755413,0.969900243580537,0.33413171554477594,0.028775726607915164,0.5568861925746266
mean_betweenness,119,-7.292085281812702e-06,4.640155021032001e-05,-0.1571517599899258,0.8754008262039248,0.005214031215492576,0.8754008262039282
