metric,beta_age_kappa0.05,beta_age_kappa0.1,beta_age_kappa0.15,beta_age_kappa0.2,beta_age_kappa0.25,FDR_q_kappa0.05,FDR_q_kappa0.1,FDR_q_kappa0.15,FDR_q_kappa0.2,FDR_q_kappa0.25,n_kappa0.05,n_kappa0.1,n_kappa0.15,n_kappa0.2,n_kappa0.25,sign_consistent_across_kappa
char_path_length,-0.0004040333383444,-0.0004281569879226,0.0019847709607733,0.0023051228495267,0.0010874932634707,0.9440638949012958,0.9253453166967456,0.4426671540730372,0.1380230491889827,0.2661088558971963,108.0,108.0,108.0,108.0,108.0,False
clustering_w,0.0015102527349682,0.0016013626567609,0.0016855617464054,0.0017315093863351,0.00171547474948,0.0005728046199997,0.0002332709540495,0.0001584405537114,0.0002581388095159,0.0004295860318442,108.0,108.0,108.0,108.0,108.0,True
mean_betweenness,-4.122789166780513e-06,-4.36894885635429e-06,2.0252764905849524e-05,2.3521661729864057e-05,1.1096870035416296e-05,0.9440638949012958,0.9253453166967456,0.4426671540730372,0.1380230491889827,0.2661088558971963,108.0,108.0,108.0,108.0,108.0,False
modularity_q,0.0010368650719926,0.00105829304367,0.0015128854490905,0.0016877466527327,0.0014882704828405,0.9212141429803784,0.7946212564208174,0.1782266518419859,0.0288345803554733,0.0191779058748894,108.0,108.0,108.0,108.0,108.0,True
small_worldness,0.0025326862552559,0.0043108741132354,0.0067464641311495,0.0062117719220777,0.0046266771496974,0.9440638949012958,0.8342025759127077,0.1928463666946816,0.047348785309141,0.039787417220794,108.0,108.0,108.0,108.0,108.0,True
