metric,n,beta_age,se_age,t_age,p_age,r2,FDR_q
clustering_w,108,0.0015102527349682335,0.000376633376095878,4.0098749362663355,0.00011456092399995003,0.14022976147599875,0.0005728046199997501
modularity_q,108,0.001036865071992601,0.0011479391452486908,0.9032404516251368,0.3684856571921513,0.01666103473496694,0.9212141429803783
char_path_length,108,-0.0004040333383444378,0.005744598874494051,-0.0703327329151459,0.9440638949012958,0.006242979779846336,0.9440638949012958
small_worldness,108,0.002532686255255977,0.007556722718145983,0.3351567008240529,0.7381819696728537,0.0024799243404022286,0.9440638949012958
mean_betweenness,108,-4.122789166780513e-06,5.861835586218422e-05,-0.070332732915155,0.9440638949012885,0.006242979779846114,0.9440638949012958
