metric,n,beta_age,se_age,t_age,p_age,r2,FDR_q
clustering_w,108,0.001731509386335115,0.00040994329356034684,4.2237778091135505,5.162776190318869e-05,0.15758499343678067,0.0002581388095159434
modularity_q,108,0.0016877466527327792,0.0006562826366947175,2.5716765283215426,0.01153383214218933,0.08232926339765867,0.028834580355473326
char_path_length,108,0.0023051228495267416,0.0015422062659324863,1.4946916637852994,0.13802304918897182,0.031409942848695804,0.13802304918898273
small_worldness,108,0.006211771922077711,0.002794852235801841,2.222576150003708,0.028409271185484655,0.05912940996742666,0.04734878530914109
mean_betweenness,108,2.3521661729864054e-05,1.5736798631964146e-05,1.4946916637852576,0.13802304918898273,0.03140994284869503,0.13802304918898273
