metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,83,31,0.24040180574791145,0.0404423356881197,0.2691293969627822,0.030371972515272253,688.0,0.00013996593435982145,0.46521570151574043,0.0006998296717991072
modularity_q,83,31,0.5007834553164021,0.05754444226856151,0.5164894534892922,0.05595444128555991,1056.0,0.14300189735437135,0.17916828604741541,0.17875237169296418
char_path_length,83,31,2.905242140177118,0.22038726043372484,2.9442536825094545,0.17913917773550847,1048.0,0.12960801554321721,0.18538670812281388,0.17875237169296418
small_worldness,83,31,2.389769415275321,0.5194630495913711,2.4499634096961986,0.5526672128737409,1181.0,0.5037067258519785,0.08200544111931596,0.5037067258519785
mean_betweenness,83,31,0.020029892832805245,0.002765557325702139,0.020584325093107186,0.0021297855660134604,1035.0,0.10994574969876847,0.19549164399533614,0.17875237169296418
