metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,87,32,0.2265905202451196,0.03677336448908646,0.25815742754369353,0.029157001412947896,677.0,1.8504903552099115e-05,0.5136494252873562,9.252451776049557e-05
modularity_q,87,32,0.43722350151316886,0.10015106217144515,0.44726638733829,0.09329159736233708,1317.0,0.6552359685210587,0.053879310344827624,0.7394153574463015
char_path_length,87,32,2.4938790200859167,0.44677714451137845,2.4625694444444446,0.4105747639867472,1460.0,0.685810405334275,-0.04885057471264376,0.7394153574463015
small_worldness,87,32,2.0198425622551626,0.5950615482329842,2.0563099357149754,0.6015805322801089,1336.0,0.7394153574463015,0.04022988505747127,0.7394153574463015
mean_betweenness,87,32,0.015243663470264407,0.004558950454197747,0.014924178004535101,0.004189538408028035,1460.0,0.685810405334275,-0.04885057471264376,0.7394153574463015
