metric,n,beta_age,se_age,t_age,p_age,r2,FDR_q
clustering_w,108,0.0016855617464054144,0.00038735150685926395,4.351504296633156,3.168811074228632e-05,0.16104057280036188,0.00015844055371143159
modularity_q,108,0.0015128854490905263,0.0008302292945514563,1.822250141038308,0.0712906607367944,0.04884995785454471,0.17822665184198597
char_path_length,108,0.0019847709607733305,0.002575481854470379,0.7706406307341186,0.4426671540730195,0.012486920464007345,0.44266715407303725
small_worldness,108,0.006746464131149569,0.00425296308332505,1.5862973646775818,0.11570782001680899,0.03442683397215196,0.19284636669468166
mean_betweenness,108,2.0252764905849524e-05,2.6280427086432452e-05,0.7706406307340884,0.44266715407303725,0.012486920464007012,0.44266715407303725
