metric,n,beta_age,se_age,t_age,p_age,r2,p_perm,FDR_q
clustering_w,81,0.0015106288895924127,0.0004249933886556114,3.5544762104912033,0.000651042253656903,0.1659673591020716,0.001,0.003255211268284515
modularity_q,81,0.0018815867480264509,0.0011868966167092178,1.585299613746753,0.11699688020092784,0.03696917313958559,,0.2924922005023196
char_path_length,81,0.004631388785021743,0.004939726821379756,0.9375799416632743,0.3513918935886202,0.01966915731826213,,0.3513918935886202
small_worldness,81,0.009474510353870844,0.007233989874710984,1.30972126281133,0.1941844478805315,0.024680378363793998,,0.3236407464675525
mean_betweenness,81,4.725906923493193e-05,5.040537572836486e-05,0.9375799416635954,0.351391893588456,0.01966915731826213,,0.3513918935886202
