metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,77,31,0.22646410554534346,0.035810652883526174,0.25959920745453113,0.030856749722232315,541.0,9.51506974976754e-06,0.546711353162966,4.75753487488377e-05
modularity_q,77,31,0.44727954890133576,0.10892971262374952,0.4515816184722717,0.10304143823912541,1160.0,0.8226701580698721,0.028068705488060286,0.9134718822453562
char_path_length,77,31,2.5560120687393413,0.5221198399990419,2.544796350602802,0.5635832034299462,1250.0,0.7037137008343741,-0.0473397570171763,0.9134718822453562
small_worldness,77,31,2.1423749563784886,0.7198759552533439,2.0923738156984024,0.6508181365564185,1210.0,0.9134718822453562,-0.01382488479262678,0.9134718822453562
mean_betweenness,77,31,0.015877674170809555,0.0053277534693779785,0.01576322806737548,0.005750849014591295,1250.0,0.7037137008343741,-0.0473397570171763,0.9134718822453562
