metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,77,31,0.21521535207510217,0.03934221615053028,0.253049375974445,0.03288907729341654,535.0,7.871208829406932e-06,0.5517385839966484,3.935604414703466e-05
modularity_q,77,31,0.37052242754571,0.06154915033532435,0.39147471994105326,0.06581006024912314,906.0,0.05128405180342428,0.24088814411395054,0.06410506475428035
char_path_length,77,31,2.0506441033713765,0.1377401930419488,2.091104594330401,0.15903126012440025,888.5,0.038644502775953986,0.255550900712191,0.06410506475428035
small_worldness,77,31,1.6464080221030102,0.25811947763985443,1.711852782444979,0.28310187805936293,997.0,0.18315958537523602,0.16464180980310017,0.18315958537523602
mean_betweenness,77,31,0.010720858197667053,0.0014055121738974373,0.011133720350310157,0.0016227679604530617,888.5,0.038644502775953986,0.255550900712191,0.06410506475428035
