band,metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
low (smooth),energy_low,78,31,0.8858665322638374,0.018285815540596044,0.9006538070669684,0.018018983094303134,672.0,0.00031384713663842943,0.4441687344913151,0.00047077070495764415
mid,energy_mid,78,31,0.06866290180281286,0.011204478372258563,0.05941069859878953,0.01206798651658856,1767.0,0.00018064684014681693,-0.46153846153846145,0.00047077070495764415
high (segregated),energy_high,78,31,0.045470565933349735,0.008812532147444067,0.03993549433424217,0.008038791081652778,1634.0,0.004354004724029327,-0.35153019023986776,0.004354004724029327
