metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,77,31,0.2218787249491116,0.03750046919300896,0.2578625932871172,0.03023033656460893,530.0,6.712280896939861e-06,0.5559279430247173,3.35614044846993e-05
modularity_q,77,31,0.407060740877364,0.07804627824802088,0.4217255042713584,0.08009299016953082,1047.0,0.3214288994902271,0.1227482195224131,0.6057580652639347
char_path_length,77,31,2.244963924963925,0.23695774384836218,2.268543499511242,0.24759350242706282,1117.0,0.6057580652639347,0.06409719312945117,0.6057580652639347
small_worldness,77,31,1.8516110984255927,0.3898371289913587,1.8978970534733357,0.42687830173582914,1086.0,0.4674304820168643,0.09007121910347715,0.6057580652639347
mean_betweenness,77,31,0.01270371352004,0.0024179361617179835,0.01294432142358404,0.0025264643104802305,1117.0,0.6057580652639347,0.06409719312945117,0.6057580652639347
