metric,n_child,n_adult,child_mean,child_sd,adult_mean,adult_sd,U,p,effect_size_r,FDR_q
clustering_w,55,26,0.22611191325309205,0.03618233436224212,0.25964676741068,0.02583813146455269,302.0,3.0072598245282546e-05,0.5776223776223777,0.0001503629912264127
modularity_q,55,26,0.43939009552499386,0.10069218032542179,0.46168161206122327,0.08199720810181672,637.0,0.4330387142899461,0.10909090909090913,0.6344736904979406
char_path_length,55,26,2.458677685950413,0.38454880565031674,2.5264568764568764,0.41274541155064104,649.0,0.5075789523983525,0.09230769230769231,0.6344736904979406
small_worldness,55,26,2.0362661626021876,0.5767655930718432,2.1145638293349096,0.583007928517166,685.0,0.7653775040769898,0.04195804195804198,0.7653775040769898
mean_betweenness,55,26,0.014884466183167432,0.003923967404595068,0.015576090576090534,0.0042116878729657236,649.0,0.5075789523983525,0.09230769230769231,0.6344736904979406
